,,,Inf,35,30,25,20,15,10,5,0
Studio White,GROSS 5,YAAPT,0.11215,0.11321,0.1115,0.11256,0.11415,0.12093,0.12471,0.14169,0.16716
,,BAFFE,0.071934,0.072406,0.071993,0.073172,0.07329,0.07559,0.084316,0.10035,0.12925
,GROSS 20,YAAPT,0.031073,0.031663,0.030896,0.030837,0.031014,0.032901,0.032252,0.034611,0.040448
,,BAFFE,0.029304,0.029599,0.029127,0.029363,0.03013,0.030483,0.03184,0.035377,0.038915
,FINE,YAAPT,0.025909,0.026069,0.02597,0.026079,0.026634,0.027418,0.027052,0.030191,0.030845
,,BAFFE,0.02838,0.028716,0.028499,0.029161,0.027135,0.027668,0.026456,0.027505,0.028257
Studio Babble,GROSS 5,YAAPT,0.11215,0.11197,0.11427,0.11657,0.123,0.13892,0.16533,0.21191,0.3523
,,BAFFE,0.071934,0.072524,0.072465,0.07842,0.083726,0.097759,0.13827,0.22524,0.36132
,GROSS 20,YAAPT,0.031073,0.03125,0.032488,0.032606,0.033019,0.038267,0.042748,0.060377,0.15136
,,BAFFE,0.029304,0.030071,0.029304,0.032842,0.033137,0.036498,0.051887,0.092335,0.14157
,FINE,YAAPT,0.025909,0.02662,0.027723,0.028894,0.027446,0.027887,0.027348,0.032437,0.060769
,,BAFFE,0.02838,0.031763,0.027357,0.033261,0.034432,0.030361,0.030752,0.039131,0.048325
Telephone White,GROSS 5,YAAPT,0.14552,0.14664,0.14693,0.1464,0.1487,0.15649,0.16645,0.20159,0.25195
,,BAFFE,0.11409,0.11616,0.11427,0.11545,0.11958,0.13149,0.14794,0.18025,0.23921
,GROSS 20,YAAPT,0.041686,0.041509,0.042394,0.040625,0.041215,0.041922,0.04375,0.061439,0.082311
,,BAFFE,0.056486,0.057429,0.055307,0.054953,0.056958,0.061969,0.06763,0.083608,0.11592
,FINE,YAAPT,0.028138,0.027827,0.029186,0.029328,0.026827,0.031153,0.028162,0.035093,0.040952
,,BAFFE,0.037064,0.033958,0.033133,0.033187,0.032602,0.03434,0.035583,0.034713,0.040721
Telephone Babble,GROSS 5,YAAPT,0.14552,0.14741,0.14811,0.1543,0.15855,0.18172,0.24151,0.37358,0.57471
,,BAFFE,0.11409,0.12482,0.12488,0.13437,0.15395,0.1809,0.23154,0.35318,0.5286
,GROSS 20,YAAPT,0.041686,0.04145,0.040861,0.043868,0.046757,0.052182,0.090271,0.19929,0.37695
,,BAFFE,0.056486,0.063797,0.062854,0.06816,0.077889,0.090271,0.10825,0.17347,0.30908
,FINE,YAAPT,0.028138,0.028913,0.026746,0.029768,0.028342,0.032089,0.039621,0.05882,0.10365
,,BAFFE,0.037064,0.038278,0.037631,0.040964,0.041734,0.038724,0.045921,0.051021,0.12253
